countryname,countrycode,ppp2019,ppp2020,ppp2021,ppp2022,ppp2023,ER_av2019,ER_av2020,ER_av2021,ER_av2022,ER_av2023,ER_End2019,ER_End2020,ER_End2021,ER_End2022,ER_End2023
Argentina,ARG,20.383669,26.887184,38.783333,61.403181,138.535504,48.147892,70.539167,94.990742,130.61655,296.258042,59.79,84.05,102.62,177.06,806.95
Australia,AUS,1.459253,1.431163,1.416683,1.372115,1.391128,1.438507,1.453085,1.331224,1.441664,1.505191,1.427348,1.298364,1.37817,1.476015,1.461988
Austria,AUT,0.738332,0.728799,0.713469,0.69687,0.708583,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Belgium,BEL,0.735832,0.716165,0.705865,0.694643,0.701943,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Brazil,BRA,2.216445,2.264911,2.379274,2.413266,2.436876,3.944471,5.155179,5.394401,5.16397,4.99438,4.0301,5.1961,5.5799,5.2171,4.8407
Bulgaria,BGR,0.675803,0.675197,0.687164,0.73178,0.738556,1.747042,1.716333,1.653775,1.860142,1.808967,1.741,1.5939,1.7269,1.8337,1.77
Canada,CAN,1.21786,1.201689,1.180039,1.164518,1.169928,1.326793,1.341153,1.253877,1.301555,1.349909,1.3059,1.2856,1.2865,1.3603,1.3258
Chile,CHL,397.674408,409.841785,423.046172,426.098226,431.415905,702.897423,792.727206,758.955379,873.31419,840.066527,744.62,728.96,866.25,867.01,872.95
China,CHN,4.059609,4.014657,3.987409,3.791642,3.638704,6.908385,6.900767,6.448975,6.737158,7.083998,6.987,6.5349,6.3704,6.986,7.1436
Colombia,COL,1312.630441,1270.743624,1316.324081,1345.664277,1401.241791,3281.622194,3693.275833,3744.244167,4256.194167,4325.955,3277.14,3432.5,3981.16,4810.2,3822.05
Croatia,HRV,0.420468,0.410331,0.40746,0.418174,0.432291,0.878963,0.877836,0.844128,0.950261,0.92484,0.882595,0.81479,0.88175,0.937559,0.904977
Czech Republic,CZE,12.097428,12.150267,12.009202,12.299963,12.55055,22.93225,23.21025,21.678167,23.357,22.198083,22.621,21.387,21.951,22.616,22.376
Denmark,DNK,6.538391,6.365057,6.232205,6.153561,6.106244,6.669447,6.542152,6.287113,7.076152,6.889703,6.6759,6.0576,6.5612,6.9722,6.7447
Estonia,EST,0.52869,0.515202,0.524476,0.556882,0.562992,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Finland,FIN,0.826328,0.802112,0.782813,0.769643,0.764142,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
France,FRA,0.705954,0.693052,0.685873,0.674142,0.672356,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Georgia,GEO,0.797049,0.796508,0.865621,0.874472,0.864622,2.818145,3.109017,3.221558,2.9162,2.627958,,,,,
Germany,DEU,0.717745,0.706836,0.70199,0.694484,0.703527,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Ghana,GHA,2.034,2.196,2.354,2.819,3.708,5.21736666666667,5.59570833333333,5.8057,8.2724,11.0204083333333,,,,,
Greece,GRC,0.540972,0.530251,0.520093,0.509116,0.516235,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Hong Kong,HKG,6.189617,6.147002,5.872041,5.578505,5.552944,7.835917,7.75725,7.77325,7.831417,7.829583,,,,,
Hungary,HUN,138.79714,141.838435,147.108198,156.944391,170.212279,290.66,307.996667,303.140833,372.595833,353.088333,294.74,297.36,325.71,375.68,346.44
India,IND,20.2395,20.319366,20.727896,20.671059,20.216627,70.420341,74.099567,73.918013,78.604491,82.599276,71.274,73.0536,74.3025,82.7862,83.1164
Indonesia,IDN,4847.445313,4791.006836,4808.429199,4921.885339,4821.594574,14147.671361,14582.203468,14308.143901,14849.853936,15236.884662,13901.005,14105.005,14269.005,15731.0,15416.0
Iran,IRN,21579.362,30725.719,45924.673,64606.96,87509.394,42000.0,42000.0,42000.0,42000.0,42000.0,,,,,
Ireland,IRL,0.794143,0.775446,0.755709,0.737879,0.751366,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Italy,ITA,0.647298,0.632292,0.617429,0.595658,0.604018,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Japan,JPN,103.231509,100.742048,98.690527,94.935505,94.677395,109.009666,106.774582,109.754324,131.49814,140.4911,109.12,103.63,114.21,132.65,141.91
Jordan,JOR,0.298,0.292,0.285,0.273,0.269,0.71,0.71,0.71,0.71,0.71,,,,,
Kazakhstan,KAZ,137.031,141.086,153.987,172.132,181.6,382.747310606061,412.953333333333,425.9075,460.165,456.165,,,,,
Kenya,KEN,41.977,43.477,43.375,42.957,44.48,101.99129838935,106.450780158517,109.637746592367,117.865989201683,139.846383759617,,,,,
Korea,KOR,847.547829,829.359157,827.274374,810.430886,800.348017,1165.3575,1180.265833,1143.951667,1291.446667,1305.6625,1157.8,1088.0,1186.6,1267.3,1289.4
Latvia,LVA,0.479802,0.469668,0.481173,0.496877,0.5045,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Luxembourg,LUX,0.829429,0.838162,0.819534,0.810536,0.82753,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Malaysia,MYS,1.602,1.568,1.585,1.576,1.552,4.14246973569731,4.20348194851884,4.14329759817721,4.40107634540072,4.56062343240898,,,,,
Poland,POL,1.698557,1.698184,1.722789,1.787327,1.879248,3.839375,3.899742,3.861917,4.457758,4.203667,3.7977,3.7584,4.06,4.4018,3.935
Portugal,PRT,0.550687,0.542815,0.537629,0.523337,0.517344,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Romania,ROU,1.636778,1.614634,1.637676,1.711763,1.758877,4.237925,4.243992,4.160417,4.688475,4.574292,4.2608,3.966,4.3707,4.6346,4.4958
Russia,RUS,23.934275,23.145168,23.685146,25.825783,26.680108,64.737658,72.104908,73.65435,68.484942,85.162008,61.9057,73.8757,74.2926,70.3375,89.6883
Saudi Arabia,SAU,1.861568,1.920739,1.909426,2.104629,1.970408,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
Singapore,SGP,0.85412,0.834628,0.81101,0.859782,0.804086,1.364158,1.379742,1.343483,1.378667,1.342767,,,,,
Slovakia,SVK,0.510067,0.48909,0.486965,0.49218,0.506852,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Slovenia,SVN,0.544192,0.532257,0.533293,0.526632,0.541355,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
South Africa,ZAF,7.065221,7.248924,7.376138,7.218918,7.280195,14.448427,16.459105,14.778678,16.355853,18.450244,14.025541,14.685948,15.905407,16.993537,18.521159
Spain,ESP,0.604131,0.606275,0.590962,0.57881,0.572592,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Sweden,SWE,8.584015,8.435616,8.311676,8.363085,8.509281,9.458349,9.210309,8.576567,10.114251,10.610161,9.2993,8.1772,9.0381,10.4273,10.0416
Taiwan,TWN,15.011,15.093,14.723,14.037,13.883,30.927,29.58325,28.0235,29.80633333,31.15758333,30.048,28.0943,27.6894,30.6984,30.5106
Thailand,THA,12.653,12.326,11.997,11.736,11.463,31.0476057805499,31.2936732130832,31.9770934417717,35.0613502144776,34.8021885808364,,,,,
The Netherlands,NLD,0.767329,0.747828,0.733515,0.726469,0.739454,0.893276,0.875506,0.845494,0.949624,0.92484,0.890155,0.81493,0.882924,0.937559,0.904977
Turkey,TUR,1.837125,2.111056,2.725605,4.605662,6.974967,5.673819,7.008605,8.850408,16.54886,24.12275,5.94555,7.3471,12.9892,18.71515,29.4899
Uganda,UGA,1320.331,1328.717,1307.894,1315.717,1333.011,3704.04907169681,3718.24892270924,3587.05170733908,3689.81738566862,3726.14045997086,,,,,
United Kingdom,GBR,0.669665,0.653446,0.644896,0.651256,0.667418,0.783445,0.78,0.727065,0.811302,0.804539,0.762108,0.745156,0.74438,0.828638,0.785207
USA,USA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,24.12275
